Feature	Gain	Cover	Frequency	pos
mtarjeta_master_consumo_rank_delta1	1.28404865281438e-05	0.000576322946161413	0.000192446475823911	1811
canarito557	1.26678758843278e-05	0.000172414487335459	0.000336781332691845	1812
canarito382	1.26282089982936e-05	6.67662697121001e-05	0.000264613904257878	1813
cprestamos_personales_tend6	1.26097973731463e-05	0.000198901211762289	7.21674284339668e-05	1814
canarito846	1.25496706005728e-05	0.000217966017876324	0.000433004570603801	1815
vmr_Master_mlimitecompra_delta1	1.25480820914421e-05	2.71545280107832e-05	2.40558094779889e-05	1816
canarito1407	1.25248003778275e-05	0.000137671794550053	0.000288669713735867	1817
rf_018_015	1.22970032549081e-05	1.51396989729105e-05	2.40558094779889e-05	1818
canarito105	1.22143570818249e-05	0.000204595857514057	0.000360837142169834	1819
cseguro_auto_delta2	1.21147975135013e-05	5.8690636498558e-05	2.40558094779889e-05	1820
canarito877	1.20137925616559e-05	5.9468331811516e-05	0.0002165022853019	1821
canarito864	1.19365473037313e-05	0.000132735119954754	0.000312725523213856	1822
canarito1167	1.19131173140065e-05	0.0001968752591173	0.000312725523213856	1823
Visa_msaldodolares_rank_delta1	1.18909738030476e-05	9.80290577456832e-06	2.40558094779889e-05	1824
canarito667	1.18907074091628e-05	0.00010063828187539	0.000240558094779889	1825
mtarjeta_visa_consumo_rank_lag2	1.18489568779623e-05	0.000221197961803726	0.000168390666345923	1826
Visa_mconsumospesos_rank	1.17893270565899e-05	9.51944146846841e-05	0.000312725523213856	1827
canarito112	1.17604842532187e-05	0.00014314383910717	0.000553283617993746	1828
canarito704	1.16904425906988e-05	0.000133552263580688	0.000433004570603801	1829
ctarjeta_visa_transacciones_delta1	1.16497651937057e-05	8.51294594024886e-05	0.000144334856867934	1830
canarito1415	1.16373090160433e-05	0.000230874069429442	0.000384892951647823	1831
mcaja_ahorro_rank_delta2	1.15214508341201e-05	0.000725155795547069	0.000553283617993746	1832
ctrx_quarter_normalizado_delta2	1.14629120127013e-05	0.000170746387243897	9.62232379119557e-05	1833
canarito267	1.13946911173142e-05	0.000376582048880061	0.000408948761125812	1834
mextraccion_autoservicio_rank_lag1	1.13640225616888e-05	0.000115608916649831	0.000144334856867934	1835
vm_msaldototal_rank_delta1	1.13222254341534e-05	2.63035715451553e-05	4.81116189559779e-05	1836
Visa_mpagominimo_rank_delta1	1.13107023084151e-05	0.000109607137604177	0.000240558094779889	1837
vmr_mpagospesos	1.114979307158e-05	2.67403207245339e-05	9.62232379119557e-05	1838
canarito871	1.11376220661632e-05	3.64051574036857e-05	0.000240558094779889	1839
mautoservicio_rank_lag1	1.11242964871308e-05	2.07469948888033e-05	9.62232379119557e-05	1840
ccajeros_propios_descuentos_delta1	1.09714904587892e-05	6.62703480632573e-05	2.40558094779889e-05	1841
canarito203	1.09418009093174e-05	0.000206061080567456	0.000288669713735867	1842
canarito966	1.08606753897835e-05	0.000146744906534563	0.000312725523213856	1843
canarito621	1.07252044895223e-05	8.50533805131775e-05	0.000312725523213856	1844
canarito792	1.06742073298431e-05	0.000108544850890463	0.000192446475823911	1845
canarito1170	1.06360164300872e-05	0.000160754693114371	0.000408948761125812	1846
Master_mconsumospesos_rank_lag2	1.05863906233151e-05	4.42666426325002e-05	9.62232379119557e-05	1847
canarito195	1.05373211275035e-05	0.000136229113389783	0.000360837142169834	1848
canarito642	1.04132155042426e-05	5.87469912313811e-05	0.0002165022853019	1849
ccheques_depositados_tend6	1.02266154444568e-05	0.000574494235081305	9.62232379119557e-05	1850
vm_mconsumospesos_rank_delta1	1.0065159994115e-05	1.04876157783683e-05	7.21674284339668e-05	1851
canarito1264	9.98483192439386e-06	0.000406996698184657	0.000384892951647823	1852
canarito604	9.82325851630856e-06	7.62338648263713e-05	0.000168390666345923	1853
canarito331	9.60315023018464e-06	0.000328353668530101	0.000408948761125812	1854
Master_mconsumospesos_rank_lag1	9.59838380357001e-06	5.65829694909762e-05	9.62232379119557e-05	1855
Master_mpagominimo_rank_lag1	9.5012098520585e-06	2.2316474197925e-05	4.81116189559779e-05	1856
canarito1236	9.45424577087858e-06	9.74824168372996e-05	0.0002165022853019	1857
Master_fultimo_cierre	9.44643707639742e-06	0.000128269007378528	0.000168390666345923	1858
canarito583	9.42067448334265e-06	3.57204473998858e-05	0.000192446475823911	1859
cprestamos_prendarios	9.32467490598886e-06	0.00125118496040056	0.0002165022853019	1860
mv_status07_rank_delta1	9.31908915078041e-06	0.000770349473534509	0.000240558094779889	1861
Visa_mpagosdolares_rank_tend6	9.26152425020429e-06	0.000130943039450981	9.62232379119557e-05	1862
canarito442	9.25185312062544e-06	0.000302748895671951	0.000384892951647823	1863
canarito793	9.1673899368027e-06	0.000136584148206568	0.0002165022853019	1864
Visa_msaldototal_rank_delta2	9.08146724433588e-06	1.78644503049046e-05	9.62232379119557e-05	1865
vmr_mpagospesos_delta1	9.05782980823763e-06	4.07698314608304e-05	9.62232379119557e-05	1866
mprestamos_prendarios_rank	9.05539836567539e-06	0.000440378424172387	9.62232379119557e-05	1867
canarito992	9.04165801672266e-06	0.000476112960255478	0.000553283617993746	1868
canarito121	9.0064058472864e-06	8.23427178643892e-05	0.000240558094779889	1869
cdescubierto_preacordado_tend6	9.00514626598221e-06	0.000445565877328748	9.62232379119557e-05	1870
canarito1285	8.95802486693922e-06	0.000215075020082502	0.000288669713735867	1871
vm_fultimo_cierre_lag2	8.9020528419125e-06	0.000165341968366167	7.21674284339668e-05	1872
vm_mconsumospesos_rank_lag2	8.83950235161747e-06	0.000194818311369259	0.000168390666345923	1873
canarito476	8.80085355869275e-06	0.000227194105376098	0.000192446475823911	1874
canarito409	8.79695462657213e-06	0.000137305488786703	0.000240558094779889	1875
vm_msaldopesos_rank_delta2	8.65360905118947e-06	0.000100694636608213	0.000264613904257878	1876
mpayroll_rank_tend6	8.64318836055894e-06	0.000303467418515445	9.62232379119557e-05	1877
canarito418	8.45652322009496e-06	0.00020604417414761	0.000408948761125812	1878
canarito506	8.45080196617408e-06	0.000115329960722357	0.000312725523213856	1879
Master_mfinanciacion_limite_rank	8.38697324981764e-06	5.9375346502358e-05	0.000144334856867934	1880
canarito348	8.3713598692544e-06	0.000440409419275439	0.000505171999037768	1881
canarito1148	8.31767094641371e-06	2.93185497511881e-05	0.000120279047389945	1882
mcuenta_corriente_rank_lag1	8.16499500438529e-06	0.00028951398666846	0.000264613904257878	1883
chomebanking_transacciones_delta1	8.08964669821673e-06	0.000117192484642159	0.000168390666345923	1884
Master_fechaalta	8.01358840097781e-06	9.08269228908983e-05	0.000120279047389945	1885
mautoservicio_rank_lag2	7.93641866396393e-06	3.04907281939074e-05	0.000144334856867934	1886
canarito119	7.80128654008105e-06	0.000196260992529529	0.000384892951647823	1887
canarito1444	7.74840548309023e-06	0.000587058522764203	0.000625451046427712	1888
canarito1450	7.6623408821467e-06	0.000610809224912474	0.00067356266538369	1889
canarito740	7.63757560411821e-06	0.000922924277179615	0.000481116189559779	1890
vmr_mconsumosdolares_tend6	7.62381087755047e-06	3.33704550411649e-05	7.21674284339668e-05	1891
mcuenta_debitos_automaticos_rank_delta1	7.61560962972945e-06	0.000339494999209216	0.000264613904257878	1892
canarito817	7.5389087238419e-06	6.62196288037166e-05	0.0002165022853019	1893
canarito1453	7.50046642737894e-06	0.000160289766568581	0.000240558094779889	1894
canarito533	7.46161974536191e-06	0.000490257998194062	0.000360837142169834	1895
Visa_mconsumosdolares_rank_delta2	7.38310120175141e-06	0.000120015856756593	9.62232379119557e-05	1896
Master_msaldototal_rank	7.36463298725732e-06	1.35955792935591e-05	2.40558094779889e-05	1897
Visa_mconsumospesos_rank_delta2	7.3071930560656e-06	8.22863631315661e-05	0.000168390666345923	1898
catm_trx_other_tend6	7.29817476087046e-06	1.32518154233385e-05	2.40558094779889e-05	1899
canarito547	7.27913796319179e-06	7.56280514485236e-05	0.000288669713735867	1900
mautoservicio_rank	7.2064210406476e-06	0.000142008291240786	0.000168390666345923	1901
canarito774	7.18803678311034e-06	0.00013013153129833	0.000168390666345923	1902
matm_rank_tend6	7.18173004987546e-06	1.99213980529457e-05	2.40558094779889e-05	1903
Visa_fechaalta	7.15865002489419e-06	0.000229307407856962	0.000264613904257878	1904
rf_020_016	7.07036255104392e-06	4.47766529645488e-05	4.81116189559779e-05	1905
canarito534	6.85736430355964e-06	0.000226027562406661	0.000312725523213856	1906
mpagomiscuentas_rank_lag2	6.75830325967386e-06	3.35479724495574e-05	0.000144334856867934	1907
cseguro_vivienda_tend6	6.34390710110453e-06	0.000436980233783157	7.21674284339668e-05	1908
canarito694	6.31807696996846e-06	7.46446613607615e-05	0.0002165022853019	1909
canarito666	6.18533050378703e-06	9.69160517724281e-05	0.000384892951647823	1910
cpayroll_trx_tend6	6.07494683674064e-06	0.000380769205528813	0.000120279047389945	1911
mcuenta_debitos_automaticos_rank_lag1	5.99453087257288e-06	0.000615650096461974	0.000384892951647823	1912
canarito655	5.94939837294348e-06	5.59236191169466e-05	0.000192446475823911	1913
canarito1212	5.90558906806029e-06	0.000176765072709398	0.000312725523213856	1914
vm_Finiciomora_tend6	5.88246742008449e-06	0.000157948227419784	9.62232379119557e-05	1915
canarito1253	5.82210408312991e-06	0.000196075021911213	0.000433004570603801	1916
canarito150	5.78477551305013e-06	0.000194144872312024	0.000240558094779889	1917
canarito1126	5.63955431444263e-06	0.0002350753147614	0.00067356266538369	1918
vmr_mpagosdolares_delta2	5.61906372751956e-06	2.60330688276047e-05	2.40558094779889e-05	1919
canarito874	5.35235443829428e-06	0.000127043291939627	0.000384892951647823	1920
vmr_mconsumosdolares_lag2	5.34517996118783e-06	1.35166826676068e-05	2.40558094779889e-05	1921
vmr_mpagado_lag1	5.29100010353514e-06	7.06744704333781e-05	7.21674284339668e-05	1922
vmr_msaldopesos_delta2	5.20991154613659e-06	7.98884692499456e-05	0.000120279047389945	1923
mtransferencias_recibidas_rank_lag2	5.19811539261052e-06	0.000222902692471623	0.000312725523213856	1924
thomebanking_lag1	5.13717310001797e-06	1.12202273050678e-05	4.81116189559779e-05	1925
canarito1125	5.04269494473804e-06	0.000302920777607061	0.000433004570603801	1926
rf_001_021	5.01711392990818e-06	0.000183986931720671	4.81116189559779e-05	1927
Visa_mconsumosdolares_rank_tend6	4.94423941801458e-06	0.000180298514457402	0.000120279047389945	1928
ccuenta_debitos_automaticos_lag2	4.90545616604496e-06	6.35399612579809e-06	2.40558094779889e-05	1929
vmr_mconsumospesos_lag2	4.89059547616776e-06	2.5224378411594e-05	9.62232379119557e-05	1930
canarito1400	4.78926405379337e-06	0.000275791609226049	0.00045706038008179	1931
canarito115	4.77353526651537e-06	0.000159278199114407	0.000312725523213856	1932
mcomisiones_rank_delta1	4.75860911715234e-06	4.97555936094646e-05	0.000120279047389945	1933
Master_mconsumospesos_rank_tend6	4.75552276692022e-06	0.000780890626309059	0.0002165022853019	1934
Visa_fultimo_cierre_lag1	4.69834203441928e-06	2.16204932475604e-05	9.62232379119557e-05	1935
Visa_fechaalta_lag2	4.68791289770511e-06	0.000138339598134006	0.000144334856867934	1936
canarito839	4.67592940578393e-06	0.000176773525919321	0.000312725523213856	1937
ccuenta_debitos_automaticos_lag1	4.57898143805531e-06	2.21079616864797e-05	4.81116189559779e-05	1938
vm_mpagosdolares_rank_delta1	4.53184524509277e-06	1.14850945493361e-05	2.40558094779889e-05	1939
vmr_mpagado	4.47140470735622e-06	9.7378160581577e-05	0.000144334856867934	1940
matm_rank_delta1	4.18406094872319e-06	0.000134042549756249	0.000144334856867934	1941
canarito720	4.18312939689455e-06	9.76571165090511e-05	0.000312725523213856	1942
vm_cconsumos_lag2	4.17112984501559e-06	1.47902996294076e-05	4.81116189559779e-05	1943
ctransferencias_recibidas_lag1	4.12550860000412e-06	6.07222246168287e-05	9.62232379119557e-05	1944
Master_mpagospesos_rank_tend6	4.08771669474578e-06	1.36970178126406e-05	2.40558094779889e-05	1945
vm_cconsumos_delta1	4.07847311553585e-06	2.93241852244704e-05	9.62232379119557e-05	1946
canarito43	4.05046747730355e-06	9.48365621312578e-05	0.0002165022853019	1947
matm_other_rank_tend6	4.01640513803264e-06	0.00014646876834373	7.21674284339668e-05	1948
canarito558	4.01112519730414e-06	0.000168878227850813	0.000336781332691845	1949
rf_018_021	3.87923957219356e-06	0.000364403791117001	0.000192446475823911	1950
mplazo_fijo_dolares_rank_delta2	3.74962070847421e-06	3.26350257778242e-05	4.81116189559779e-05	1951
mplazo_fijo_dolares_rank_lag1	3.62439188538804e-06	9.58875778984075e-06	2.40558094779889e-05	1952
ccaja_seguridad_lag1	3.60024211605438e-06	3.34634403503229e-05	2.40558094779889e-05	1953
thomebanking	3.5937023923748e-06	0.000486600576033846	0.000120279047389945	1954
ctarjeta_debito_transacciones_lag2	3.55723601709964e-06	0.00014605456105748	0.000192446475823911	1955
Master_mconsumototal_rank_lag1	3.54436029898552e-06	3.959483528147e-05	7.21674284339668e-05	1956
mforex_sell_rank_tend6	3.54373254964508e-06	0.00112289904660218	0.000264613904257878	1957
canarito1136	3.52313870232734e-06	9.51718727915549e-05	0.0002165022853019	1958
Master_mpagominimo_rank	3.48296195995473e-06	5.6726674059675e-05	7.21674284339668e-05	1959
canarito810	3.48107874756632e-06	7.09816037272637e-05	0.0002165022853019	1960
canarito42	3.47875425426384e-06	0.000209524078899432	0.000288669713735867	1961
Master_msaldopesos_rank_lag2	3.47034754909389e-06	6.18042354870312e-05	7.21674284339668e-05	1962
vmr_mpagado_delta1	3.4535362434468e-06	2.6965739655826e-06	2.40558094779889e-05	1963
canarito878	3.44474410675205e-06	0.000104073102840955	0.000240558094779889	1964
canarito29	3.40999089488236e-06	0.000113408264333092	0.000288669713735867	1965
ctrx_quarter_lag1	3.39468052671545e-06	3.70870496708445e-05	0.000144334856867934	1966
vm_status04_tend6	3.24987033063342e-06	0.000256140713890654	7.21674284339668e-05	1967
Master_mconsumospesos_rank	3.20449086669865e-06	0.000189416710228171	0.000120279047389945	1968
vmr_mconsumosdolares_delta2	3.19527370893794e-06	0.00027474341119554	0.000168390666345923	1969
